解算X	解算Y	原始X	原始Y	误差X	误差Y
1294.82	769.85	1295.63	768.5	0.807347	-1.34958
1429.21	771.657	1429.19	770.501	-0.0186469	-1.15621
1563.23	773.186	1562.8	772.673	-0.425253	-0.512614
1696.97	774.94	1695.88	775	-1.09059	0.0602839
77.2119	422.518	80.004	425.47	2.79212	2.95233
349.956	425.538	352.125	429.125	2.16896	3.58658
486.305	427.286	487.5	430	1.195	2.71388
622.319	428.619	622.75	430.375	0.431101	1.75574
758.02	429.896	758.625	430.75	0.604531	0.853668
893.557	431.142	893.5	431.25	-0.0566553	0.107939
1028.89	432.077	1028.5	432.875	-0.385351	0.797725
1164.07	432.941	1163.88	433.25	-0.190176	0.30862
1299.13	433.777	1298.63	434.625	-0.506573	0.848205
1568.41	435.018	1565.9	437.008	-2.51119	1.99013
1702.65	435.671	1698.75	438.375	-3.89938	2.7038
252.216	2133.42	256.625	2130.25	4.40942	-3.17078
370.167	2132.61	373.23	2129.49	3.06253	-3.11709
487.762	2132.02	490.25	2129.63	2.48763	-2.39693
722.367	2131.79	723.431	2129.58	1.0645	-2.21188
839.36	2132.02	839.75	2130.5	0.389796	-1.51984
956.406	2132.27	956.375	2130.88	-0.0305283	-1.39765
1072.9	2132.53	1072.63	2130.63	-0.279906	-1.90382
172.89	2164.66	177.25	2161.63	4.35986	-3.0311
277.918	2163.72	281.5	2160.75	3.58212	-2.97168
382.753	2163.02	385.75	2160.88	2.99696	-2.14183
487.426	2162.05	489.738	2159.61	2.31161	-2.44804
591.822	2161.67	593.526	2160.27	1.70361	-1.40464
696.287	2161.23	697.625	2159.75	1.33753	-1.48237
800.12	2160.87	800.75	2160	0.6296	-0.869123
251.578	1843.45	254.375	1841.88	2.79731	-1.574
369.587	1843.24	371.5	1841.88	1.91261	-1.36249
487.614	1843.43	488.438	1842.83	0.823541	-0.593823
605.403	1843.65	605	1843.75	-0.40261	0.103601
722.731	1844.11	722.5	1844.75	-0.23117	0.644142
840.203	1844.5	839.75	1845.13	-0.453022	0.621164
957.484	1845.04	956.837	1845.99	-0.647068	0.947253
1074.48	1845.76	1073.59	1846.49	-0.889626	0.729331
1191.18	1846.48	1190.63	1847	-0.549199	0.512579
1307.84	1847.33	1306.63	1848.63	-1.2193	1.29747
1424.31	1848.01	1422.88	1848.5	-1.43494	0.489589
1540.51	1848.92	1538.88	1849	-1.63273	0.0800018
80.294	1770.56	84.25	1769.75	3.95597	-0.810904
214.738	1769.79	218	1769.25	3.26245	-0.544367
349.287	1769.61	350.625	1769.88	1.33805	0.263064
483.793	1769.52	483.625	1770.13	-0.168072	0.603208
618.118	1769.55	617.896	1770.45	-0.222106	0.892473
752.173	1769.68	751.375	1770.75	-0.798079	1.07105
886.104	1769.93	885.75	1771.63	-0.353695	1.69934
1020.03	1770.2	1019.25	1772.75	-0.782267	2.54703
1153.59	1771	1153.38	1772.75	-0.218891	1.75121
1286.78	1771.52	1286.63	1772.38	-0.152275	0.856484
